Time [s],PID,Address,Endpoint,Frame #,Data,CRC
-0.000000083333333,SOF,,,'1326' (0x52E),,'28' (0x1C)
0.001000083333333,SOF,,,'1327' (0x52F),,'3' (0x03)
0.002000208333333,SOF,,,'1328' (0x530),,'30' (0x1E)
0.003000375000000,SOF,,,'1329' (0x531),,'1' (0x01)
0.004000541666667,SOF,,,'1330' (0x532),,\t (0x09)
0.005000666666667,SOF,,,'1331' (0x533),,'22' (0x16)
0.006000833333333,SOF,,,'1332' (0x534),,'25' (0x19)
0.007001000000000,SOF,,,'1333' (0x535),,'6' (0x06)
0.008001125000000,SOF,,,'1334' (0x536),,'14' (0x0E)
0.009001291666667,SOF,,,'1335' (0x537),,'17' (0x11)
0.010001458333333,SOF,,,'1336' (0x538),,'16' (0x10)
0.011001583333333,SOF,,,'1337' (0x539),,'15' (0x0F)
0.012001750000000,SOF,,,'1338' (0x53A),,'7' (0x07)
0.012865458333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.012868833333333,NAK,,,,,
0.012907083333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.012910416666667,NAK,,,,,
0.013001916666667,SOF,,,'1339' (0x53B),,'24' (0x18)
0.013005250000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013008583333333,NAK,,,,,
0.013033333333333,OUT,'6' (0x06),'1' (0x01),,,'4' (0x04)
0.013036583333333,DATA0,,,,'27' (0x1B) '5' (0x05),'48180' (0xBC34)
0.013041250000000,ACK,,,,,
0.013043333333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013046666666667,NAK,,,,,
0.013072250000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013075583333333,NAK,,,,,
0.013098833333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013102166666667,NAK,,,,,
0.013139416666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013166333333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013169708333333,NAK,,,,,
0.013201083333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013204458333333,NAK,,,,,
0.013228125000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013231458333333,NAK,,,,,
0.013264458333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013267791666667,NAK,,,,,
0.013294291666667,NAK,,,,,
0.013326375000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013329708333333,NAK,,,,,
0.013353125000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013356458333333,NAK,,,,,
0.013389458333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013392791666667,NAK,,,,,
0.013415875000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013419208333333,NAK,,,,,
0.013443125000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013446458333333,NAK,,,,,
0.013478041666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013481375000000,NAK,,,,,
0.013514458333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013517791666667,NAK,,,,,
0.013549875000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013553250000000,NAK,,,,,
0.013585458333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013588833333333,NAK,,,,,
0.013612375000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013615750000000,NAK,,,,,
0.013657250000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013660583333333,NAK,,,,,
0.013692833333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013696166666667,NAK,,,,,
0.013720083333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013723416666667,NAK,,,,,
0.013764416666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.013767750000000,NAK,,,,,
0.013799750000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
